TIME,TIME_SYSTEM,TARGET_ID,STATION,ANGLE_1,ANGLE_1_GODOT,ANGLE_2,ANGLE_2_GODOT,DOPPLER_INSTANTANEOUS,DOPPLER_INSTANTANEOUS_GODOT,RANGE,RANGE_GODOT,TDM,TRUE_VX,TRUE_VY,TRUE_VZ,TRUE_X,TRUE_Y,TRUE_Z,XSTAT_VX,XSTAT_VY,XSTAT_VZ,XSTAT_X,XSTAT_Y,XSTAT_Z
2023-08-19 09:22:06.031,TAI,00039451,RR01,1.7941228656746822,1.8017740441013028,1.0052131937205844,1.010491064074717,1.11171835214405,1.1104232545972208,583.436511652085,583.4717844730175,/home/anarykov/godot/files/inputOD00015/00005_RR01_20230819T092129_20230819T092233.tdm,-2.4595009836269672,5.342914982443043,-4.843746808061524,-1490.6508756068195,4119.965292992752,5287.374371406617,-0.2809212856148119,-0.08104613295587783,0.0006441257257092747,-1100.1328542545823,3852.5795334279333,4946.142030723579
2023-08-19 09:22:14.031,TAI,00039451,RR01,1.9687593255093607,1.9768727073481258,0.9822427166217432,0.9763207127088299,1.80494062218929,1.8057421861307836,595.151253460591,595.1654412812551,/home/anarykov/godot/files/inputOD00015/00005_RR01_20230819T092129_20230819T092233.tdm,-2.4447636830199344,5.302240401604879,-4.895632398771484,-1510.2680629735073,4162.546194060368,5248.416599552048,-0.28087395810299925,-0.0812100004170411,0.0006440233716527762,-1102.3800352932476,3851.930508876018,4946.147183320117
2023-08-19 09:22:22.031,TAI,00039451,RR01,2.1261940347837394,2.1253692478218267,0.9335180145742379,0.9315018630778141,2.45207342771986,2.452459270291771,612.248569153233,612.2361944962075,/home/anarykov/godot/files/inputOD00015/00005_RR01_20230819T092129_20230819T092233.tdm,-2.429833917571146,5.261148106016691,-4.947133599832792,-1529.7665813027431,4204.800025530093,5209.045277812275,-0.28082653500426735,-0.08137384024083649,0.0006439207984259424,-1104.6268373293506,3851.280173494954,4946.152335096943
2023-08-19 09:22:30.031,TAI,00039451,RR01,2.2544747759348005,2.247875319931936,0.8813865159420776,0.8805528380588811,3.0397080718174,3.0400884822208414,634.254234752176,634.2492223930813,/home/anarykov/godot/files/inputOD00015/00005_RR01_20230819T092129_20230819T092233.tdm,-2.414712848964059,5.219641305670263,-4.998246327171651,-1549.1448955119943,4246.723458498741,5169.263497675392,-0.28077901633475083,-0.08153765237152215,0.0006438180060636696,-1106.8732595984795,3850.628527506007,4946.157486052307
2023-08-19 09:22:38.031,TAI,00039451,RR01,2.343600862760638,2.3479135725597855,0.8369907391596952,0.8270980361359724,3.56462127342783,3.5639711639037177,660.679549210061,660.7095471640429,/home/anarykov/godot/files/inputOD00015/00005_RR01_20230819T092129_20230819T092233.tdm,-2.399401654222955,5.17772324457675,-5.04896652621883,-1568.4014798810258,4288.313189878701,5129.074383195355,-0.28073140211062303,-0.08170143675334146,0.0006437149946009434,-1109.1193013360223,3849.9755711309704,4946.162636184455
2023-08-19 09:22:46.031,TAI,00039451,RR01,2.425931015658163,2.4296673417120376,0.7831276125235171,0.7736802824382675,4.02451791145165,4.024248781970169,691.10569436266,691.1050258968262,/home/anarykov/godot/files/inputOD00015/00005_RR01_20230819T092129_20230819T092233.tdm,-2.383901526865834,5.135397201155759,-5.099290173082692,-1587.5348182033324,4329.565942680824,5088.481090794944,-0.2806836923480907,-0.0818651933305475,0.0006436117640728228,-1111.3649617774993,3849.3213045920925,4946.167785491635
2023-08-19 09:22:54.031,TAI,00039451,RR01,2.4906462824957214,2.4969314214265808,0.7309335661319084,0.7219087250891423,4.42495806156352,4.424408360570865,724.948321829321,724.9390325955317,/home/anarykov/godot/files/inputOD00015/00005_RR01_20230819T092129_20230819T092233.tdm,-2.368213670957725,5.092666484858088,-5.1492132706538785,-1606.5434037460175,4370.478466218135,5047.486808824014,-0.28063588706338555,-0.08202892204742666,0.0006435083145144285,-1113.610240158885,3848.66572811197,4946.172933972096
2023-08-19 09:23:02.031,TAI,00039451,RR01,2.5453211597076235,2.552805925112638,0.6623425753983925,0.6726976976039719,4.77028824812658,4.769875128153437,761.752980633769,761.7514499540003,/home/anarykov/godot/files/inputOD00015/00005_RR01_20230819T092129_20230819T092233.tdm,-2.3523393078315507,5.049534439472299,-5.198731853762601,-1625.4257395506681,4411.047536445942,5006.094757545996,-0.280587986272779,-0.08219262284825082,0.0006434046459609693,-1115.8551357159595,3848.0088419137396,4946.178081624084
2023-08-19 09:23:10.031,TAI,00039451,RR01,2.5916563519955624,2.599712172913501,0.6125178076154919,0.6264870151528399,5.06724005304674,5.066900942398639,801.078975129095,801.129492297615,/home/anarykov/godot/files/inputOD00015/00005_RR01_20230819T092129_20230819T092233.tdm,-2.336279673919542,5.006004441722981,-5.247841987992657,-1644.1803384947202,4451.269956203104,4964.308188818912,-0.28053998999257285,-0.0823562956773094,0.0006433007584477236,-1118.099647684739,3847.350646220953,4946.183228445848
2023-08-19 21:37:04.190,TAI,00039451,RR01,2.4335661858110735,2.4350052956016897,0.6757976465532788,0.6786685978455058,-4.33694885526534,-4.336539296842911,757.305010344285,757.2911913157047,/home/anarykov/godot/files/inputOD00015/00006_RR01_20230819T213627_20230819T213651.tdm,-1.9512512095347754,5.243892202335919,5.171995463061512,1988.9078727296146,-4233.389526943106,5028.3198576331,0.2741508056676053,0.10161989074776692,-0.0006293942185737364,1404.8412846975914,-3759.3892978999615,4940.687747483404
